resp_id,submitted_date,question_no,question_type,question,answer,answer_duration_sec
R02,2026-07-19,6,객관식,다음 중 한국 생활 중 이용하려다 어려움을 겪은 앱·서비스는 무엇인가요? (해당하는 것 모두 선택),"공공 서비스 앱 (행정, 세금 등)",0
R02,2026-07-19,7,객관식,생활앱 이용 시 가장 큰 장벽은 무엇이었나요?,여러 장벽이 복합적으로 작용했다,28
R02,2026-07-19,8,객관식,자신과 같은 국가 출신 사람들이 남긴 리뷰와 추천이 있다면 도움이 될 것 같으신가요?,매우 도움이 될 것 같다,16
R02,2026-07-19,9,객관식,"K-뷰티 제품을 선택할 때, 당신의 피부타입(건성, 지성, 복합성 등)과 비슷한 외국인의 리뷰와 추천이 있다면 얼마나 유용할까요?",매우 유용할 것 같다,10
R02,2026-07-19,10,객관식,"한국의 K-BBQ, 카페, 쇼핑, 관광지 등을 추천받을 때, 외국인의 시각에서 작성한 리뷰나 추천을 원하시나요?",어느 정도 원한다,9
R02,2026-07-19,11,객관식,다음 중 가장 추천 정보가 필요한 카테고리는 무엇인가요?,"한식당 (한우, 삼겹살, 찌개 등)",6
R02,2026-07-19,12,객관식,GLOU의 다음 기능 중 가장 유용할 것 같은 기능은 무엇인가요? (1순위),Ask GLOU AI (AI 챗봇으로 한국 생활 정보 및 추천 받기),36
R02,2026-07-19,13,객관식,위 기능들 중 2번째로 유용할 것 같은 기능은 무엇인가요?,GLOU Mate 동행 매칭 (비슷한 관심사의 외국인과 함께 한국 경험 공유),17
R02,2026-07-19,14,객관식,"GLOU에서 개인화된 AI 추천, 광고 없는 서비스 등 프리미엄 기능을 이용한다면, 월 구독료로 얼마까지 지불할 의향이 있으신가요?","월 3,000원 - 5,000원",11
R02,2026-07-19,15,객관식,GLOU에서 지역 앰배서더 또는 리뷰어로 활동하며 현지 정보를 공유할 의향이 있으신가요?,어느 정도 참여할 의향이 있다,13
R02,2026-07-19,16,객관식,앰배서더·리뷰어 활동 시 어떤 인센티브를 가장 선호하시나요?,현금 보상,19
R02,2026-07-19,17,객관식,당신은 현재 한국에 얼마나 오래 체류하고 계신가요?,3개월 - 6개월,4
R02,2026-07-19,18,객관식,한국에 체류하는 주된 목적은 무엇인가요?,유학,5
R02,2026-07-19,19,객관식,한국어 수준은 어느 정도 되시나요?,"초급 수준 (기본 문장 이해, 간단한 대화)",10
R02,2026-07-19,20,객관식,GLOU 베타 서비스에 참여하실 의향이 있으신가요?,어느 정도 참여할 의향이 있다,10
R02,2026-07-19,21,주관식,"한국 생활 중 가장 어려웠던 점이나 필요했던 정보가 무엇인가요? 언제, 어떤 상황에서 겪었는지 구체적인 경험을 이야기해 주시고, 그때 어떻게 해결했는지도 함께 말씀해 주세요.",For me the most difficult was getting my ARC,168
R02,2026-07-19,22,주관식,GLOU에서 개선되었으면 하는 기능이나 콘텐츠가 있다면 자유롭게 제안해 주세요. 왜 그 기능이 필요하다고 느꼈는지 본인의 경험과 함께 말씀해 주세요.,Maybe map with the best places in Korea and real reviews from people,67
R02,2026-07-19,23,주관식,"베타 서비스 안내를 받고 싶다면 인스타그램 계정 또는 이메일을 남겨주세요. (선택사항이며, 베타 서비스 안내 목적으로만 사용됩니다.)",No thank you,49
R02,2026-07-19,24,주관식,귀하의 국적은 어디인가요?,Russia,8
R02,2026-07-19,25,주관식,기타 하고 싶은 말씀이 있으시면 작성해주세요.,It was an interesting survey,10
R03,2026-07-19,1,객관식,귀하의 국적은 어디인가요?,일본,2
R03,2026-07-19,2,객관식,귀하의 성별은 무엇인가요?,여성,2
R03,2026-07-19,3,객관식,귀하의 연령대는 어떻게 되시나요?,20대,1
R03,2026-07-19,4,객관식,"한국 블로그나 유튜브에서 식당, 카페, 뷰티 제품 정보를 찾을 때, 해당 리뷰나 추천이 얼마나 신뢰할 수 있다고 생각하시나요?",어느 정도 신뢰한다,15
R03,2026-07-19,5,객관식,한국 블로그나 유튜브의 콘텐츠 중에서 광고인지 솔직한 리뷰인지 구분하기가 얼마나 어렵나요?,어느 정도 구분된다,12
R03,2026-07-19,6,객관식,다음 중 한국 생활 중 이용하려다 어려움을 겪은 앱·서비스는 무엇인가요? (해당하는 것 모두 선택),"쇼핑앱 (쿠팡, 네이버 쇼핑 등)",18
R03,2026-07-19,7,객관식,생활앱 이용 시 가장 큰 장벽은 무엇이었나요?,"본인인증(공인인증서, 생체인증 등) 불가",7
R03,2026-07-19,8,객관식,자신과 같은 국가 출신 사람들이 남긴 리뷰와 추천이 있다면 도움이 될 것 같으신가요?,매우 도움이 될 것 같다,13
R03,2026-07-19,9,객관식,"K-뷰티 제품을 선택할 때, 당신의 피부타입(건성, 지성, 복합성 등)과 비슷한 외국인의 리뷰와 추천이 있다면 얼마나 유용할까요?",매우 유용할 것 같다,13
R03,2026-07-19,10,객관식,"한국의 K-BBQ, 카페, 쇼핑, 관광지 등을 추천받을 때, 외국인의 시각에서 작성한 리뷰나 추천을 원하시나요?",별로 원하지 않는다,10
R03,2026-07-19,11,객관식,다음 중 가장 추천 정보가 필요한 카테고리는 무엇인가요?,"한식당 (한우, 삼겹살, 찌개 등)",21
R03,2026-07-19,12,객관식,GLOU의 다음 기능 중 가장 유용할 것 같은 기능은 무엇인가요? (1순위),"국적별 신뢰 리뷰 지도 (같은 나라 사람들의 리뷰로 맛집, 카페, 뷰티숍 찾기)",28
R03,2026-07-19,13,객관식,위 기능들 중 2번째로 유용할 것 같은 기능은 무엇인가요?,Ask GLOU AI (AI 챗봇으로 한국 생활 정보 및 추천 받기),36
R03,2026-07-19,14,객관식,"GLOU에서 개인화된 AI 추천, 광고 없는 서비스 등 프리미엄 기능을 이용한다면, 월 구독료로 얼마까지 지불할 의향이 있으신가요?",무료로만 사용하고 싶다,12
R03,2026-07-19,15,객관식,GLOU에서 지역 앰배서더 또는 리뷰어로 활동하며 현지 정보를 공유할 의향이 있으신가요?,별로 참여하고 싶지 않다,17
R03,2026-07-19,16,객관식,앰배서더·리뷰어 활동 시 어떤 인센티브를 가장 선호하시나요?,현금 보상,15
R03,2026-07-19,17,객관식,당신은 현재 한국에 얼마나 오래 체류하고 계신가요?,1년 이상,6
R03,2026-07-19,18,객관식,한국에 체류하는 주된 목적은 무엇인가요?,유학,3
R03,2026-07-19,19,객관식,한국어 수준은 어느 정도 되시나요?,"고급 수준 (비즈니스 대화, 문서 이해)",3
R03,2026-07-19,20,객관식,GLOU 베타 서비스에 참여하실 의향이 있으신가요?,잘 모르겠다,6
R03,2026-07-19,21,주관식,"한국 생활 중 가장 어려웠던 점이나 필요했던 정보가 무엇인가요? 언제, 어떤 상황에서 겪었는지 구체적인 경험을 이야기해 주시고, 그때 어떻게 해결했는지도 함께 말씀해 주세요.",外角人登録証発行までに1ヶ月くらいかかるが、発行中はクーパンやペダルなどのオンライン上のショッピンが本人認証が出来ないために利用不可能なため不便だった。仕方なく、韓国の友達などなら一時的に電話番号を借りて利用した。,102
R03,2026-07-19,22,주관식,GLOU에서 개선되었으면 하는 기능이나 콘텐츠가 있다면 자유롭게 제안해 주세요. 왜 그 기능이 필요하다고 느꼈는지 본인의 경험과 함께 말씀해 주세요.,人々の利用率が低いため、見ようと思えない。人の利用がないと、見たいと思えない,150
R03,2026-07-19,23,주관식,"베타 서비스 안내를 받고 싶다면 인스타그램 계정 또는 이메일을 남겨주세요. (선택사항이며, 베타 서비스 안내 목적으로만 사용됩니다.)",大丈夫です,78
R03,2026-07-19,24,주관식,귀하의 국적은 어디인가요?,日本,7
R03,2026-07-19,25,주관식,기타 하고 싶은 말씀이 있으시면 작성해주세요.,なし,6
R04,2026-07-20,1,객관식,귀하의 국적은 어디인가요?,일본,1
R04,2026-07-20,2,객관식,귀하의 성별은 무엇인가요?,여성,2
R04,2026-07-20,3,객관식,귀하의 연령대는 어떻게 되시나요?,20대,1
R04,2026-07-20,4,객관식,"한국 블로그나 유튜브에서 식당, 카페, 뷰티 제품 정보를 찾을 때, 해당 리뷰나 추천이 얼마나 신뢰할 수 있다고 생각하시나요?",어느 정도 신뢰한다,5
R04,2026-07-20,5,객관식,한국 블로그나 유튜브의 콘텐츠 중에서 광고인지 솔직한 리뷰인지 구분하기가 얼마나 어렵나요?,매우 어렵게 느껴진다,5
R04,2026-07-20,6,객관식,다음 중 한국 생활 중 이용하려다 어려움을 겪은 앱·서비스는 무엇인가요? (해당하는 것 모두 선택),"배달앱 (배민, 쿠팡이츠 등)",8
R04,2026-07-20,6,객관식,다음 중 한국 생활 중 이용하려다 어려움을 겪은 앱·서비스는 무엇인가요? (해당하는 것 모두 선택),"은행앱 (계좌 개설, 송금 등)",0
R04,2026-07-20,7,객관식,생활앱 이용 시 가장 큰 장벽은 무엇이었나요?,한국 휴대폰 번호 부재,24
R04,2026-07-20,8,객관식,자신과 같은 국가 출신 사람들이 남긴 리뷰와 추천이 있다면 도움이 될 것 같으신가요?,매우 도움이 될 것 같다,11
R04,2026-07-20,9,객관식,"K-뷰티 제품을 선택할 때, 당신의 피부타입(건성, 지성, 복합성 등)과 비슷한 외국인의 리뷰와 추천이 있다면 얼마나 유용할까요?",어느 정도 유용할 것 같다,5
R04,2026-07-20,10,객관식,"한국의 K-BBQ, 카페, 쇼핑, 관광지 등을 추천받을 때, 외국인의 시각에서 작성한 리뷰나 추천을 원하시나요?",어느 정도 원한다,4
R04,2026-07-20,11,객관식,다음 중 가장 추천 정보가 필요한 카테고리는 무엇인가요?,모두 동등하게 필요하다,8
R04,2026-07-20,12,객관식,GLOU의 다음 기능 중 가장 유용할 것 같은 기능은 무엇인가요? (1순위),"국적별 신뢰 리뷰 지도 (같은 나라 사람들의 리뷰로 맛집, 카페, 뷰티숍 찾기)",4
R04,2026-07-20,13,객관식,위 기능들 중 2번째로 유용할 것 같은 기능은 무엇인가요?,GLOU Mate 동행 매칭 (비슷한 관심사의 외국인과 함께 한국 경험 공유),12
R04,2026-07-20,14,객관식,"GLOU에서 개인화된 AI 추천, 광고 없는 서비스 등 프리미엄 기능을 이용한다면, 월 구독료로 얼마까지 지불할 의향이 있으신가요?",무료로만 사용하고 싶다,4
R04,2026-07-20,15,객관식,GLOU에서 지역 앰배서더 또는 리뷰어로 활동하며 현지 정보를 공유할 의향이 있으신가요?,전혀 참여하고 싶지 않다,4
R04,2026-07-20,16,객관식,앰배서더·리뷰어 활동 시 어떤 인센티브를 가장 선호하시나요?,현금 보상,4
R04,2026-07-20,17,객관식,당신은 현재 한국에 얼마나 오래 체류하고 계신가요?,6개월 - 1년,5
R04,2026-07-20,18,객관식,한국에 체류하는 주된 목적은 무엇인가요?,유학,2
R04,2026-07-20,19,객관식,한국어 수준은 어느 정도 되시나요?,"초급 수준 (기본 문장 이해, 간단한 대화)",4
R04,2026-07-20,20,객관식,GLOU 베타 서비스에 참여하실 의향이 있으신가요?,전혀 참여하고 싶지 않다,3
R04,2026-07-20,21,주관식,"한국 생활 중 가장 어려웠던 점이나 필요했던 정보가 무엇인가요? 언제, 어떤 상황에서 겪었는지 구체적인 경험을 이야기해 주시고, 그때 어떻게 해결했는지도 함께 말씀해 주세요.",留学初期は韓国語がわからないのでとにかく各種手続きが困難だった。韓国人とのコミュニケーションが必須なため。韓国人の友人に助けてもらった,13
R04,2026-07-20,22,주관식,GLOU에서 개선되었으면 하는 기능이나 콘텐츠가 있다면 자유롭게 제안해 주세요. 왜 그 기능이 필요하다고 느꼈는지 본인의 경험과 함께 말씀해 주세요.,無料で使いたい,58
R04,2026-07-20,23,주관식,"베타 서비스 안내를 받고 싶다면 인스타그램 계정 또는 이메일을 남겨주세요. (선택사항이며, 베타 서비스 안내 목적으로만 사용됩니다.)",なし,8
R04,2026-07-20,24,주관식,귀하의 국적은 어디인가요?,日本,2
R04,2026-07-20,25,주관식,기타 하고 싶은 말씀이 있으시면 작성해주세요.,特になし,4
R05,2026-07-21,1,객관식,귀하의 국적은 어디인가요?,기타 아시아,4
R05,2026-07-21,2,객관식,귀하의 성별은 무엇인가요?,남성,2
R05,2026-07-21,3,객관식,귀하의 연령대는 어떻게 되시나요?,30대,1
R05,2026-07-21,4,객관식,"한국 블로그나 유튜브에서 식당, 카페, 뷰티 제품 정보를 찾을 때, 해당 리뷰나 추천이 얼마나 신뢰할 수 있다고 생각하시나요?",어느 정도 신뢰한다,1
R05,2026-07-21,5,객관식,한국 블로그나 유튜브의 콘텐츠 중에서 광고인지 솔직한 리뷰인지 구분하기가 얼마나 어렵나요?,어느 정도 구분된다,1
R05,2026-07-21,6,객관식,다음 중 한국 생활 중 이용하려다 어려움을 겪은 앱·서비스는 무엇인가요? (해당하는 것 모두 선택),"예약앱 (병원, 식당, 숙소 예약 등)",2
R05,2026-07-21,7,객관식,생활앱 이용 시 가장 큰 장벽은 무엇이었나요?,"본인인증(공인인증서, 생체인증 등) 불가",3
R05,2026-07-21,8,객관식,자신과 같은 국가 출신 사람들이 남긴 리뷰와 추천이 있다면 도움이 될 것 같으신가요?,어느 정도 도움이 될 것 같다,2
R05,2026-07-21,9,객관식,"K-뷰티 제품을 선택할 때, 당신의 피부타입(건성, 지성, 복합성 등)과 비슷한 외국인의 리뷰와 추천이 있다면 얼마나 유용할까요?",어느 정도 유용할 것 같다,1
R05,2026-07-21,10,객관식,"한국의 K-BBQ, 카페, 쇼핑, 관광지 등을 추천받을 때, 외국인의 시각에서 작성한 리뷰나 추천을 원하시나요?",어느 정도 원한다,1
R05,2026-07-21,11,객관식,다음 중 가장 추천 정보가 필요한 카테고리는 무엇인가요?,"한식당 (한우, 삼겹살, 찌개 등)",1
R05,2026-07-21,12,객관식,GLOU의 다음 기능 중 가장 유용할 것 같은 기능은 무엇인가요? (1순위),Ask GLOU AI (AI 챗봇으로 한국 생활 정보 및 추천 받기),1
R05,2026-07-21,13,객관식,위 기능들 중 2번째로 유용할 것 같은 기능은 무엇인가요?,Ask GLOU AI (AI 챗봇으로 한국 생활 정보 및 추천 받기),1
R05,2026-07-21,14,객관식,"GLOU에서 개인화된 AI 추천, 광고 없는 서비스 등 프리미엄 기능을 이용한다면, 월 구독료로 얼마까지 지불할 의향이 있으신가요?",무료로만 사용하고 싶다,3
R05,2026-07-21,15,객관식,GLOU에서 지역 앰배서더 또는 리뷰어로 활동하며 현지 정보를 공유할 의향이 있으신가요?,어느 정도 참여할 의향이 있다,1
R05,2026-07-21,16,객관식,앰배서더·리뷰어 활동 시 어떤 인센티브를 가장 선호하시나요?,한국 브랜드 상품 제공,1
R05,2026-07-21,17,객관식,당신은 현재 한국에 얼마나 오래 체류하고 계신가요?,3개월 - 6개월,1
R05,2026-07-21,18,객관식,한국에 체류하는 주된 목적은 무엇인가요?,워킹홀리데이,1
R05,2026-07-21,19,객관식,한국어 수준은 어느 정도 되시나요?,"초급 수준 (기본 문장 이해, 간단한 대화)",1
R05,2026-07-21,20,객관식,GLOU 베타 서비스에 참여하실 의향이 있으신가요?,어느 정도 참여할 의향이 있다,1
R05,2026-07-21,21,주관식,"한국 생활 중 가장 어려웠던 점이나 필요했던 정보가 무엇인가요? 언제, 어떤 상황에서 겪었는지 구체적인 경험을 이야기해 주시고, 그때 어떻게 해결했는지도 함께 말씀해 주세요.",의사소통,7
R05,2026-07-21,22,주관식,GLOU에서 개선되었으면 하는 기능이나 콘텐츠가 있다면 자유롭게 제안해 주세요. 왜 그 기능이 필요하다고 느꼈는지 본인의 경험과 함께 말씀해 주세요.,없음,14
R05,2026-07-21,23,주관식,"베타 서비스 안내를 받고 싶다면 인스타그램 계정 또는 이메일을 남겨주세요. (선택사항이며, 베타 서비스 안내 목적으로만 사용됩니다.)",없음,7
R05,2026-07-21,24,주관식,귀하의 국적은 어디인가요?,태국,5
R05,2026-07-21,25,주관식,기타 하고 싶은 말씀이 있으시면 작성해주세요.,없음,3
R06,2026-07-22,1,객관식,귀하의 국적은 어디인가요?,그 외 국가,7
R06,2026-07-22,2,객관식,귀하의 성별은 무엇인가요?,남성,3
R06,2026-07-22,3,객관식,귀하의 연령대는 어떻게 되시나요?,40대,2
R06,2026-07-22,4,객관식,"한국 블로그나 유튜브에서 식당, 카페, 뷰티 제품 정보를 찾을 때, 해당 리뷰나 추천이 얼마나 신뢰할 수 있다고 생각하시나요?",별로 신뢰하지 않는다,9
R06,2026-07-22,5,객관식,한국 블로그나 유튜브의 콘텐츠 중에서 광고인지 솔직한 리뷰인지 구분하기가 얼마나 어렵나요?,판단하기 어렵다,8
R06,2026-07-22,6,객관식,다음 중 한국 생활 중 이용하려다 어려움을 겪은 앱·서비스는 무엇인가요? (해당하는 것 모두 선택),"예약앱 (병원, 식당, 숙소 예약 등)",9
R06,2026-07-22,7,객관식,생활앱 이용 시 가장 큰 장벽은 무엇이었나요?,"본인인증(공인인증서, 생체인증 등) 불가",3
R06,2026-07-22,8,객관식,자신과 같은 국가 출신 사람들이 남긴 리뷰와 추천이 있다면 도움이 될 것 같으신가요?,어느 정도 도움이 될 것 같다,11
R06,2026-07-22,9,객관식,"K-뷰티 제품을 선택할 때, 당신의 피부타입(건성, 지성, 복합성 등)과 비슷한 외국인의 리뷰와 추천이 있다면 얼마나 유용할까요?",어느 정도 유용할 것 같다,2
R06,2026-07-22,10,객관식,"한국의 K-BBQ, 카페, 쇼핑, 관광지 등을 추천받을 때, 외국인의 시각에서 작성한 리뷰나 추천을 원하시나요?",어느 정도 원한다,3
R06,2026-07-22,11,객관식,다음 중 가장 추천 정보가 필요한 카테고리는 무엇인가요?,"K-뷰티 (스킨케어, 메이크업 제품 및 가게)",6
R06,2026-07-22,12,객관식,GLOU의 다음 기능 중 가장 유용할 것 같은 기능은 무엇인가요? (1순위),"국적별 신뢰 리뷰 지도 (같은 나라 사람들의 리뷰로 맛집, 카페, 뷰티숍 찾기)",3
R06,2026-07-22,13,객관식,위 기능들 중 2번째로 유용할 것 같은 기능은 무엇인가요?,K-Beauty 피부타입 추천 (본인의 피부타입에 맞는 K-뷰티 제품 추천),3
R06,2026-07-22,14,객관식,"GLOU에서 개인화된 AI 추천, 광고 없는 서비스 등 프리미엄 기능을 이용한다면, 월 구독료로 얼마까지 지불할 의향이 있으신가요?","월 3,000원 - 5,000원",6
R06,2026-07-22,15,객관식,GLOU에서 지역 앰배서더 또는 리뷰어로 활동하며 현지 정보를 공유할 의향이 있으신가요?,매우 참여하고 싶다,3
R06,2026-07-22,16,객관식,앰배서더·리뷰어 활동 시 어떤 인센티브를 가장 선호하시나요?,현금 보상,4
R06,2026-07-22,17,객관식,당신은 현재 한국에 얼마나 오래 체류하고 계신가요?,1년 이상,5
R06,2026-07-22,18,객관식,한국에 체류하는 주된 목적은 무엇인가요?,유학,2
R06,2026-07-22,19,객관식,한국어 수준은 어느 정도 되시나요?,원어민 수준,4
R06,2026-07-22,20,객관식,GLOU 베타 서비스에 참여하실 의향이 있으신가요?,매우 참여하고 싶다,4
R06,2026-07-22,21,주관식,"한국 생활 중 가장 어려웠던 점이나 필요했던 정보가 무엇인가요? 언제, 어떤 상황에서 겪었는지 구체적인 경험을 이야기해 주시고, 그때 어떻게 해결했는지도 함께 말씀해 주세요.","밤늦게 갑작스러운 고열과 복통이 발 생했을 때, 어느 병원 응급실로 가야 하는지, 내 증 상을 어떻게 표현해야 하는지 몰라 당황했습니다.",53
R06,2026-07-22,22,주관식,GLOU에서 개선되었으면 하는 기능이나 콘텐츠가 있다면 자유롭게 제안해 주세요. 왜 그 기능이 필요하다고 느꼈는지 본인의 경험과 함께 말씀해 주세요.,"예시:

제가 필요한 특정 정보를 찾기 위 해 검색 기능을 자주 활용합니다. 그러나 검색 결과에 너무 많은 최 신글이나 무관한 글이 섞여 나와 원하는 정보를 핵심만 골라보기 가 어려웠습니다. 게시글을 조회 수순, 추천순, 혹은 특정 카테고 리별로 상세하게 필터링할 수 있 는 기능이 생겼으면 좋겠습니다. 또한, 관심 있는 키워드를 등록해 두면 관련 새 글이 올라왔을 때 푸시 알림을 받는 기능이 도입된 다면 앱을 더 자주 유용하게 방문 하게 될 것 같습니다.",30
R06,2026-07-22,23,주관식,"베타 서비스 안내를 받고 싶다면 인스타그램 계정 또는 이메일을 남겨주세요. (선택사항이며, 베타 서비스 안내 목적으로만 사용됩니다.)",[이메일-마스킹],13
R06,2026-07-22,24,주관식,귀하의 국적은 어디인가요?,네덜란드,63
R06,2026-07-22,25,주관식,기타 하고 싶은 말씀이 있으시면 작성해주세요.,없음,7
R07,2026-07-22,1,객관식,귀하의 국적은 어디인가요?,그 외 국가,3
R07,2026-07-22,2,객관식,귀하의 성별은 무엇인가요?,남성,3
R07,2026-07-22,3,객관식,귀하의 연령대는 어떻게 되시나요?,50대,3
R07,2026-07-22,4,객관식,"한국 블로그나 유튜브에서 식당, 카페, 뷰티 제품 정보를 찾을 때, 해당 리뷰나 추천이 얼마나 신뢰할 수 있다고 생각하시나요?",어느 정도 신뢰한다,31
R07,2026-07-22,5,객관식,한국 블로그나 유튜브의 콘텐츠 중에서 광고인지 솔직한 리뷰인지 구분하기가 얼마나 어렵나요?,판단하기 어렵다,18
R07,2026-07-22,6,객관식,다음 중 한국 생활 중 이용하려다 어려움을 겪은 앱·서비스는 무엇인가요? (해당하는 것 모두 선택),"예약앱 (병원, 식당, 숙소 예약 등)",24
R07,2026-07-22,7,객관식,생활앱 이용 시 가장 큰 장벽은 무엇이었나요?,"본인인증(공인인증서, 생체인증 등) 불가",42
R07,2026-07-22,8,객관식,자신과 같은 국가 출신 사람들이 남긴 리뷰와 추천이 있다면 도움이 될 것 같으신가요?,어느 정도 도움이 될 것 같다,13
R07,2026-07-22,9,객관식,"K-뷰티 제품을 선택할 때, 당신의 피부타입(건성, 지성, 복합성 등)과 비슷한 외국인의 리뷰와 추천이 있다면 얼마나 유용할까요?",어느 정도 유용할 것 같다,25
R07,2026-07-22,10,객관식,"한국의 K-BBQ, 카페, 쇼핑, 관광지 등을 추천받을 때, 외국인의 시각에서 작성한 리뷰나 추천을 원하시나요?",어느 정도 원한다,16
R07,2026-07-22,11,객관식,다음 중 가장 추천 정보가 필요한 카테고리는 무엇인가요?,모두 동등하게 필요하다,51
R07,2026-07-22,12,객관식,GLOU의 다음 기능 중 가장 유용할 것 같은 기능은 무엇인가요? (1순위),Ask GLOU AI (AI 챗봇으로 한국 생활 정보 및 추천 받기),47
R07,2026-07-22,13,객관식,위 기능들 중 2번째로 유용할 것 같은 기능은 무엇인가요?,Ask GLOU AI (AI 챗봇으로 한국 생활 정보 및 추천 받기),8
R07,2026-07-22,14,객관식,"GLOU에서 개인화된 AI 추천, 광고 없는 서비스 등 프리미엄 기능을 이용한다면, 월 구독료로 얼마까지 지불할 의향이 있으신가요?",무료로만 사용하고 싶다,20
